date,cvar_historical,mv_historical,cvar_mbb,mv_mbb,ew
2024-05-03,"[0.34999999999945636, 0.34999999966101153, 3.818853953173024e-13, 1.2975777328929236e-12, 0.3000000003378526]","[0.3499993830804359, 0.31498942626886295, 0.010496778811072513, 2.3189345231060734e-06, 0.3245120929051057]","[0.34999999999981407, 0.30000000000043126, 1.2664589615339177e-13, 7.8158340611921e-13, 0.3499999999988465]","[0.34999964015130086, 0.30000080077941527, 1.7739239235050445e-07, 1.316504752069992e-07, 0.34999925002641646]",[0.2 0.2 0.2 0.2 0.2]
2024-05-10,"[0.3499999999974323, 0.13472477053803203, 2.245512683114655e-12, 0.16527522946683956, 0.3499999999954507]","[0.21968890170977265, 0.3499922807211996, 6.164689193743844e-08, 0.0803189478541712, 0.34999980806796466]","[0.34999999999002945, 0.29999999997832205, 1.4669836733713066e-12, 3.782460217879243e-11, 0.34999999999235687]","[0.34999965043599024, 0.2999997762772419, 6.547839510338308e-07, 1.2472004161114635e-07, 0.3499997937827755]",[0.2 0.2 0.2 0.2 0.2]
2024-05-17,"[0.349999999997553, 0.30000000000917343, 1.9891310190089748e-13, 1.9621317860192313e-12, 0.34999999999111275]","[0.3499954630247763, 0.29999648669876766, 7.2212985792971805e-06, 1.726940188671895e-06, 0.3499991020376881]","[0.34999999999754533, 0.30000000006701616, 2.425485770177341e-12, 1.8069444202455422e-11, 0.34999999991494357]","[0.34999773266067163, 0.30000211092539764, 1.7567437406958027e-06, 1.0360836576609436e-06, 0.34999736358653255]",[0.2 0.2 0.2 0.2 0.2]
2024-05-24,"[0.3499999999890841, 0.30000000001164534, 2.118940949120521e-12, 1.6873521886154857e-11, 0.3499999999802781]","[0.34999848105598086, 0.3000025317962956, 6.800235298712591e-07, 2.2984097385725762e-07, 0.34999807728321997]","[0.34999999999776926, 0.3000000000084973, 1.9020477936832076e-13, 2.5659538515114054e-12, 0.3499999999909774]","[0.34999933239077247, 0.3000000884164022, 9.297484996689545e-07, 2.269476658144343e-07, 0.34999942249665994]",[0.2 0.2 0.2 0.2 0.2]
2024-05-31,"[0.3499999999963951, 0.15916815078180976, 2.2726444373783726e-12, 0.1408318492252245, 0.3499999999942982]","[0.2626335109384777, 0.34999916807441656, 2.433468727378347e-07, 0.03736720602796448, 0.3499998716122685]","[0.3499999999994341, 0.299999999350984, 7.785556414642084e-13, 6.500088667637417e-10, 0.3499999999987948]","[0.3499996699515676, 0.3000003898348433, 1.6126617972600075e-07, 8.64697152030291e-08, 0.3499996924776944]",[0.2 0.2 0.2 0.2 0.2]
2024-06-07,"[0.3499999999991651, 0.06202236346917111, 1.7343996596370297e-13, 0.23797763653202153, 0.34999999999946885]","[0.19529184660622784, 0.3499996794834355, 1.4326480720135224e-08, 0.10470848351431315, 0.3499999760695427]","[0.34999999999724957, 0.16757785104614378, 3.3314178308673564e-12, 0.132422148976076, 0.34999999997719927]","[0.24232382267336638, 0.3499594898187123, 1.675883502209243e-06, 0.05771610796643903, 0.34999890365798003]",[0.2 0.2 0.2 0.2 0.2]
2024-06-14,"[0.3499999999951399, 0.06202236360098631, 3.1475921228400347e-12, 0.23797763640642536, 0.34999999999430087]","[0.1897503313759063, 0.3499994393402264, 6.106333134524701e-09, 0.11025024173766196, 0.34999998143987227]","[0.3499999999985766, 0.16757785004723388, 1.9820871864250506e-12, 0.13242214995784513, 0.34999999999436243]","[0.28426028751416876, 0.34999934583072984, 1.4235833823136096e-06, 0.015739324737579892, 0.34999961833413923]",[0.2 0.2 0.2 0.2 0.2]
2024-06-21,"[0.3499999999898222, 0.29999999998560395, 1.5300595249547421e-12, 2.765760049315091e-11, 0.3499999999953863]","[0.34999987361177404, 0.30000001781697877, 1.280381697092281e-07, 3.343363935788343e-08, 0.3499999470994383]","[0.3499999999964754, 0.1154719676003873, 4.58802963304247e-12, 0.1845280324061245, 0.3499999999924249]","[0.25836313150953105, 0.3499999719539877, 2.1900578480820132e-08, 0.041636879299368774, 0.3499999953365341]",[0.2 0.2 0.2 0.2 0.2]
2024-06-28,"[0.3499999999507247, 0.3000000000875309, 1.659038845027942e-11, 5.432117108642123e-11, 0.34999999989083325]","[0.3499998828607791, 0.30000010496142365, 7.936914034578915e-08, 3.308575984933213e-08, 0.349999899722897]","[0.34999999999740017, 0.11328908958321109, 2.317967668801315e-12, 0.18671091042254154, 0.3499999999945293]","[0.23328502096737927, 0.3499997976498991, 4.4129551438869354e-08, 0.0667151592102461, 0.3499999780429241]",[0.2 0.2 0.2 0.2 0.2]
2024-07-05,"[0.349999999995559, 0.2999999999926032, 3.394484251750135e-12, 1.7868017811533494e-11, 0.34999999999057546]","[0.3499982161005698, 0.3000028396134665, 5.053202884764213e-07, 2.8648390055615645e-07, 0.34999815248177474]","[0.3499999999951259, 0.2999999999756564, 4.3770226874827994e-13, 2.998986415557501e-11, 0.3499999999987902]","[0.349999772058726, 0.29999984357770854, 4.3321868724417563e-07, 5.153391588447853e-08, 0.34999989961096223]",[0.2 0.2 0.2 0.2 0.2]
2024-07-12,"[0.34999999999316106, 0.1591681504605651, 1.7689436962715854e-12, 0.1408318495519059, 0.34999999999259906]","[0.24835491240140395, 0.34999963144032203, 3.1111236754698384e-08, 0.05164544388335257, 0.3499999811636848]","[0.3499999999919466, 0.1347247701409549, 2.9243775501476807e-12, 0.16527522987118148, 0.3499999999929927]","[0.22664466994936688, 0.3499998214867589, 1.9625102357266438e-08, 0.07335549801498228, 0.34999999092378975]",[0.2 0.2 0.2 0.2 0.2]
2024-07-19,"[0.3499999999983757, 0.3000000000057164, 9.76738301480795e-13, 3.794435967469432e-12, 0.34999999999113685]","[0.3499994576346855, 0.30000013169450257, 7.964509410908245e-07, 1.0845944073167214e-07, 0.34999950576043004]","[0.34999999999901743, 0.2999999999474425, 8.280070293377274e-13, 5.6690169508917134e-11, 0.3499999999960221]","[0.3499919725168118, 0.3000152602646245, 1.9842150469982975e-06, 1.0835236698853708e-06, 0.34998969947984704]",[0.2 0.2 0.2 0.2 0.2]
2024-07-26,"[0.34999999997870734, 0.29999999988327586, 3.2668396047768756e-12, 1.4958430783797744e-10, 0.3499999999851658]","[0.34999736859211766, 0.30000236526829277, 2.622429809080102e-06, 2.789149961848042e-07, 0.34999736479478416]","[0.3499999999956241, 0.3000000000031587, 2.7885968395015314e-12, 2.103516126240635e-11, 0.34999999997739367]","[0.34999953530437, 0.3000004348074581, 2.955383443140387e-07, 6.724855732131781e-08, 0.34999966710127034]",[0.2 0.2 0.2 0.2 0.2]
2024-08-02,"[0.34999999999987236, 0.30000000000136695, 2.511755987257386e-13, 7.298089504656532e-13, 0.34999999999777986]","[0.3499984051643888, 0.3000032346975319, 4.987522738996854e-07, 2.288057141090301e-07, 0.34999763258009137]","[0.34999999999799, 0.2999999999853289, 2.2220342240431382e-12, 2.1182813399668246e-11, 0.34999999999327636]","[0.3499996280267427, 0.30000023530868464, 2.893721142741876e-07, 9.520241248947042e-08, 0.3499997520900459]",[0.2 0.2 0.2 0.2 0.2]
2024-08-09,"[0.3499999999984995, 0.30000000000278526, 1.8287741109953028e-12, 6.19228064287963e-12, 0.34999999999069425]","[0.34999817343715117, 0.3000007696905699, 9.341562968121059e-07, 8.143774204602023e-07, 0.34999930833856163]","[0.3499999999921459, 0.3000000007770574, 3.780725600711262e-12, 1.3863128917750696e-11, 0.349999999213153]","[0.34999931858730016, 0.3000007298303545, 1.92537777387264e-07, 8.831084135831465e-08, 0.34999967073372673]",[0.2 0.2 0.2 0.2 0.2]
